"","","Total","Hard drugs = Yes","Hard drugs = No","p-value"
"1","Age at baseline","43.27 ± 8.78","44.62 ± 9.49","43.16 ± 8.72","0.36"
"2","BMI at baseline","25.26 ± 4.41","23.62 ± 3.45","25.39 ± 4.46","0.006"
"3","Alcohol use at baseline",NA,NA,NA,"1"
"4","13 or fewer drinks per week","471 (93.08)","37 (94.87)","434 (92.93)",NA
"5","> 13 drinks per week","35 (6.92)","2 (5.13)","33 (7.07)",NA
"6","Smoking status at baseline",NA,NA,NA,"<0.0001"
"7","Never/former","310 (61.26)","9 (23.08)","301 (64.45)",NA
"8","Current","196 (38.74)","30 (76.92)","166 (35.55)",NA
"9","Income level at baseline",NA,NA,NA,"0.056"
"10","< $10,000","105 (20.75)","14 (35.9)","91 (20.22)",NA
"11","$10,000 - $40,000","210 (41.5)","16 (41.03)","194 (43.11)",NA
"12","> $40,000","174 (34.39)","9 (23.08)","165 (36.67)",NA
"13","Education at baseline",NA,NA,NA,"0.005"
"14","HS or less","111 (21.94)","16 (41.03)","95 (20.34)",NA
"15",">HS","395 (78.06)","23 (58.97)","372 (79.66)",NA
"16","Adherence at 2 years",NA,NA,NA,"0.163"
"17","<95%","52 (10.28)","1 (2.56)","51 (10.92)",NA
"18",">95%","454 (89.72)","38 (97.44)","416 (89.08)",NA
"19","Baseline viral load","1008772.37 ± 11435068.78","184278.01 ± 430227.28","1080547.55 ± 11920119.51","0.115"
"20","Baseline CD4+ count","374.7 ± 199.7","352.18 ± 194.67","376.66 ± 200.22","0.456"
"21","Baseline SF36 MCS score","45.23 ± 13.49","42.31 ± 11.22","45.48 ± 13.65","0.102"
"22","Baseline SF36 PCS score","51.03 ± 9.11","47.7 ± 8.5","51.31 ± 9.11","0.015"
