,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,-4,32.72385043,-1.11044973,-0.129999395,0.031208792,-0.132339476,0.039799088,-7.118169394,-1.240449125,-1.11044973
2,-4.8,33.24159658,-1.013755629,0.262078938,0.061300028,-0.152673576,0.056922144,-6.936789257,-0.751676692,-1.013755629
3,-3.9,36.6968963,-0.883521424,-0.450965923,0.010018965,-0.18737017,0.013015309,-4.758047938,-1.334487348,-0.883521424
4,-3.4,29.8615934,-0.953813052,-0.304914907,0.070922618,-0.133057373,0.034808204,-5.233384774,-1.258727959,-0.953813052
5,-2.6,33.44906356,-0.550633679,0.18073967,0.080027739,-0.214879014,-0.100209196,-1.369666428,-0.369894009,-0.550633679
6,-3.9,30.2866132,-0.977315786,-1.032701419,0.088240797,-0.127318044,-0.043873105,-3.920422854,-2.010017205,-0.977315786
7,-3.9,34.99156932,-0.851466066,0.319593682,0.064940457,-0.199795843,0.090799504,-7.258323271,-0.531872384,-0.851466066
8,-5,44.91969023,-1.203329519,-1.180796348,0.030827063,-0.24091399,0.170857026,-10.18761367,-2.384125867,-1.203329519
9,-4,39.73949947,-0.901169025,-1.008168266,0.036453052,-0.211896655,0.076301222,-6.829356092,-1.909337291,-0.901169025
10,-3.1,38.02587831,-1.20108876,-1.127558205,0.016742105,-0.183826963,0.021650653,-4.886197909,-2.328646965,-1.20108876
11,-4.6,32.96586319,-0.794840125,0.019424238,0.046763123,-0.164057349,-0.073714938,-2.020632987,-0.775415886,-0.794840125
12,-4.8,32.92838165,-0.997450789,-0.448419692,0.036439826,-0.136980349,0.078917423,-6.845490239,-1.44587048,-0.997450789
13,-4,39.57555567,-1.000062671,-0.75550962,0.037487874,-0.217920797,0.04694133,-5.626224652,-1.755572291,-1.000062671
14,-3.8,39.6334181,-1.041279091,-0.305424051,-0.000121133,-0.199452688,0.030109612,-5.273005568,-1.346703142,-1.041279091
15,-4.9,35.57944846,-0.826615764,0.447342665,0.051933784,-0.192837565,0.078803578,-7.362080044,-0.379273099,-0.826615764
16,-3.8,36.7668232,-0.907583957,-0.937165304,0.003387564,-0.166892993,-0.064922007,-2.174942601,-1.844749261,-0.907583957
17,-4.9,33.61677763,-0.922049421,-0.31603095,0.024890883,-0.140991378,-0.010687072,-3.810176408,-1.238080371,-0.922049421
18,-3.4,34.92861979,-0.823583224,-0.912063352,0.048224997,-0.179044999,-0.114690504,-0.861101447,-1.735646575,-0.823583224
19,-3.9,33.55056525,-0.890343846,-0.860265845,0.052697838,-0.162500418,0.037051249,-4.696914071,-1.750609691,-0.890343846
20,-4.7,38.40841543,-1.060948938,-0.315377129,0.046054942,-0.210063034,0.105948656,-7.586473703,-1.376326067,-1.060948938
21,-4.9,39.54412521,-0.936191365,-1.563216791,0.052403593,-0.208386962,0.128878785,-8.492497058,-2.499408156,-0.936191365
22,-4.9,31.16181654,-0.392791622,0.011143014,0.008362496,-0.139370656,-0.28520703,4.308178618,-0.381648608,-0.392791622
23,-3.9,37.17104038,-0.877196146,-0.404720254,0.025186901,-0.192465116,0.00592374,-3.855552239,-1.2819164,-0.877196146
24,-6,40.08414672,-0.943847784,-1.17828867,0.008387438,-0.182403372,0.084453549,-6.792682711,-2.122136453,-0.943847784
25,-4.9,38.30266997,-0.758493649,-0.836025691,0.042906828,-0.210044611,-0.008307027,-3.283862239,-1.594519341,-0.758493649
26,-3.8,33.79559864,-0.771728698,-0.394203664,0.060583747,-0.184964633,-0.124267218,0.258317045,-1.165932362,-0.771728698
27,-3.9,34.55231143,-0.898945906,-0.251456127,0.048319778,-0.179684132,-0.011622063,-3.752476857,-1.150402033,-0.898945906
28,-3.7,38.95180531,-1.168088493,-1.344117902,0.030680596,-0.195976014,0.187323078,-9.148673584,-2.512206395,-1.168088493
29,-4.9,36.54298308,-0.77832731,0.035366438,0.03703906,-0.201624275,0.017528563,-4.193303143,-0.742960872,-0.77832731
30,-3.9,32.9770247,-0.772207102,-0.606224434,0.027123085,-0.151012065,-0.106637873,-1.127874466,-1.378431536,-0.772207102
31,-3.4,44.07309215,-0.98122762,-2.369937019,-0.023423938,-0.221427509,0.000863817,-3.454621281,-3.351164639,-0.98122762
32,-4.2,39.83123393,-1.054767637,-1.593994655,0.018842735,-0.184946805,0.062597827,-6.91898898,-2.648762292,-1.054767637
33,-3,36.28360503,-0.817418558,-1.079458152,0.031505457,-0.186333868,0.026773123,-4.22605907,-1.89687671,-0.817418558
34,-4,36.16038074,-1.04337524,-0.935553523,0.04121957,-0.177489535,0.146221033,-8.955651962,-1.978928763,-1.04337524
35,-4.8,36.00868802,-0.992054875,-0.175513211,0.063342931,-0.18417063,0.091899675,-7.369882301,-1.167568085,-0.992054875
36,-4,40.16819001,-0.944660203,-1.377978666,-0.030062839,-0.179014342,-0.075480957,-1.818418467,-2.322638869,-0.944660203
37,-3.9,39.11089041,-1.157861062,-0.604412901,0.03473547,-0.210274527,0.054052019,-5.502370653,-1.762273964,-1.157861062
38,-4.4,36.37974794,-1.133607544,-0.339907989,0.034748426,-0.17510902,0.105971052,-7.68962261,-1.473515533,-1.133607544
39,-3.9,36.51638464,-0.956278306,-0.69427938,0.022228636,-0.177089701,-0.027176412,-3.158532805,-1.650557686,-0.956278306
40,-4.7,38.19568076,-0.76036182,-1.350314304,0.026531475,-0.189602577,-0.026434985,-3.582527444,-2.110676124,-0.76036182
41,-4.7,37.65034442,-0.96960571,-0.949360415,0.045181974,-0.184213675,0.13465933,-8.86703717,-1.918966125,-0.96960571
42,-4.9,40.64810891,-0.99715172,-1.433234529,0.036339316,-0.198300097,0.087523717,-7.409719279,-2.430386248,-0.99715172
43,-4,37.85129358,-0.939959702,-0.968661866,0.023069568,-0.190994125,-0.034740363,-3.168822724,-1.908621568,-0.939959702
44,-5,35.80703771,-0.831141305,-0.070153754,0.03689582,-0.184763479,-0.047167995,-2.883436176,-0.901295059,-0.831141305
45,-3.8,34.79269299,-0.85777648,-0.868841842,0.057368024,-0.18340389,0.029154099,-4.474436523,-1.726618321,-0.85777648
